Title,Release_year,Genre,IMDb_Rating,Number_of_ratings
ACT 1978,2020,Action,7.7,785
Suraari,2023,Action,9.4,776
Karva,2016,Horror,7.2,767
Rama Rama Re,2016,Drama,8.2,760
Made in China,2022,Comedy,8.7,746
Digvijaya,2023,Family,9.3,731
Ondu Sarala Prema Kathe,2024,Drama,7.5,724
Hondisi Bareyiri,2023,Drama,7.8,704
Arasu,2007,Drama,7.9,704
Prithvi,2010,Action,8.2,694
Ramzan,2023,Drama,8.9,692
First Rank Raju,2015,Comedy,7.7,690
Lucky Man,2022,Fantasy,7.2,686
Bad,2025,Action,8.4,678
Pancharangi,2010,Drama,7.5,659
Dhruvathaare,2024,Romance,8.0,649
Rama Shama Bhama,2005,Comedy,8.0,647
Navagraha,2008,Action,8.2,637
Sambavami Yuge Yuge,2024,Thriller,7.6,627
Nimmellara Aashirvada,2023,Comedy,9.3,619
Jogi,2005,Action,8.0,616
Body God,2022,Comedy,7.4,603
Premam Poojyam,2021,Romance,7.9,599
Bhavachitra,2022,Mystery,8.0,591
Bisilu Kudure,2023,Drama,8.7,583
5D,2024,Crime,8.1,580
Dhamaka,2022,Comedy,9.0,574
Sakath,2021,Comedy,7.3,573
Kappu Bilupina Naduve,2024,Drama,8.4,570
Mugulu Nage,2017,Romance,7.3,568
Premaloka,1987,Drama,7.8,568
Dheeran,2022,Action,8.5,566
Taj,2024,,8.9,562
Fighter,2023,Action,8.4,555
The Suit,2024,,9.0,554
Manku Bhai Foxy Rani,2023,Drama,8.6,554
90 Bidi Manig Nadi,2023,Comedy,9.2,553
Swathi Mutthina Male Haniye,2023,Drama,7.3,552
Dil Kush,2024,Romance,8.1,550
Langoti Man,2024,Drama,9.2,550
Ambuja,2023,Drama,8.7,550
Jalandhara,2024,Crime,9.1,547
Sreemantha,2023,,8.4,547
Vikaasaparva,2024,Adventure,8.5,544
Monk the Young,2025,Fantasy,9.5,542
Popcorn Monkey Tiger,2019,Action,7.3,541
Aatagara,2015,Mystery,7.8,541
Taane C/O Srirampura,2025,Action,8.2,538
Damayana,2023,Comedy,9.1,538
Buddies,2022,Drama,9.4,538
Gauri Ganesha,1991,Comedy,8.4,530
Huccha,2001,Drama,7.8,526
Bypass Road,2022,Thriller,8.6,526
Hagga,2024,,8.4,524
Matsyagandha,2024,,8.7,522
Praapthi,2024,Thriller,8.5,521
Dvija,2024,Thriller,8.4,520
Yuddhakaanda Chapter 2,2025,Drama,7.2,518
Babruvahana,1977,Action,8.8,518
Shabaash Baddi Magane,2025,,7.2,513
Yello Jogappa Ninnaramane,2025,Drama,9.6,513
Girki,2022,Comedy,7.8,498
Kandor Mane Kathe,2024,,9.5,495
Yajamana,2000,Drama,8.4,485
Hudugaru,2011,Action,7.8,482
Juliet 2,2023,Action,7.9,482
Mukunda Murari,2016,Comedy,7.2,476
The Rulers,2024,,8.9,472
Manada Kadalu,2025,Romance,7.9,471
Bhaava Theera Yaana,2025,,9.3,470
Kasturi Nivasa,1971,Drama,8.9,468
Bhootayyana Maga Ayyu,1974,Drama,8.8,466
Cyanide Mallika,2021,Crime,8.2,459
1888,2023,Crime,7.5,454
Tapassi,2025,Drama,9.6,444
Gini Helida Kathe,2019,Drama,8.4,440
Gandhada Gudi,1973,Action,8.8,439
My Autograph,2006,Drama,7.9,439
Nathicharami,2018,Drama,7.2,426
Lifeu Ishtene,2011,Comedy,7.2,426
Radha Ramana,2023,Drama,9.0,424
Aghora,2022,Fantasy,7.8,422
Just Maath Maathalli,2010,Drama,7.6,419
Sanju Weds Geetha 2,2025,Romance,9.3,418
America America,1995,Drama,8.4,418
Appu,2002,Action,8.0,412
Neer Dose,2016,Comedy,7.5,412
Shuddhi,2017,Crime,7.8,411
Mythri,2015,Drama,7.3,406
Siri Lambodara Vivaha,2023,Drama,8.8,393
Kavirathna Kaalidaasa,1983,Drama,8.6,384
Vamshi,2008,Action,7.6,384
Katha Sangama,2019,Drama,7.3,383
Mayura,1976,Drama,8.9,382
Pushpaka Vimana,2017,Comedy,7.3,374
Thurthu Nirgamana,2022,Comedy,7.1,369
Kariya,2003,Action,7.2,368
Orchestra Mysuru,2023,Drama,7.7,365
Mata,2006,Comedy,8.5,359
Kiraathaka,2011,Comedy,7.5,355
Ardhambardha Premakathe,2023,Comedy,8.7,352
Mussanje Maathu,2008,Drama,7.5,345
Aa Dinagalu,2007,Crime,8.4,342
Jalapata,2023,Drama,8.5,342
Agnyathavasi,2025,Mystery,7.1,338
Gowli,2023,Action,7.2,336
Budhivanta,2008,Crime,7.2,336
Mutthina Haara,1990,Drama,8.2,332
Aaram Aravinda Swamy,2024,Comedy,9.3,331
Monsoon Raaga,2022,Drama,7.1,327
Amrutha Varshini,1997,Drama,8.7,321
Duniya,2007,Drama,7.7,321
Hollywood,2002,Comedy,7.5,320
